url,label,rationale,http_status,http_error,final_url,n_redirects,saas_interior,synthetic_patterns,recommendation,recommendation_reason
https://www.tomsguide.com/best-picks/best-laptops-for-business-use,INFORMATION_FORAGING,Tom's Guide best-picks roundup,404,,https://www.tomsguide.com/best-picks/best-laptops-for-business-use,0,False,,REPLACE,http_404 (page not found)
https://www.cnet.com/tech/services-and-software/best-vpn/,INFORMATION_FORAGING,CNET best-VPN comparison roundup,200,,https://www.cnet.com/tech/services-and-software/best-vpn/,0,False,,KEEP,http_200
https://www.pcmag.com/picks/the-best-business-cloud-storage-services,INFORMATION_FORAGING,PCMag editor's-picks roundup,404,,https://www.pcmag.com/picks/the-best-business-cloud-storage-services,0,False,,REPLACE,http_404 (page not found)
https://www.zdnet.com/article/best-business-credit-card/,INFORMATION_FORAGING,ZDNet best-X article,404,,https://www.zdnet.com/article/best-business-credit-card/,0,False,,REPLACE,http_404 (page not found)
https://www.theverge.com/22808642/expense-management-software-comparison,INFORMATION_FORAGING,The Verge software-comparison piece,404,,https://www.theverge.com/22808642/expense-management-software-comparison,0,False,,REPLACE,http_404 (page not found)
https://www.engadget.com/best-business-laptops-130000821.html,INFORMATION_FORAGING,Engadget best-laptops review,404,,https://www.engadget.com/best-business-laptops-130000821.html,0,False,,REPLACE,http_404 (page not found)
https://stratechery.com/2025/the-state-of-saas-2025/,INFORMATION_FORAGING,Stratechery long-form analysis,404,,https://stratechery.com/2025/the-state-of-saas-2025/,0,False,,REPLACE,http_404 (page not found)
https://hbr.org/2025/04/the-corporate-travel-recovery,INFORMATION_FORAGING,HBR research article,404,,https://hbr.org/2025/04/the-corporate-travel-recovery,0,False,,REPLACE,http_404 (page not found)
https://www.mckinsey.com/industries/travel-logistics-and-infrastructure/our-insights/business-travel-2025,INFORMATION_FORAGING,McKinsey industry insights,-1,timeout,,0,False,,REPLACE,http_error: timeout
https://www.gartner.com/reviews/market/expense-management-software,INFORMATION_FORAGING,Gartner reviews market category,403,,https://www.gartner.com/reviews/market/expense-management-software,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.expedia.com/Hotels-Search?destination=Paris,TRANSACTIONAL_COMPARISON,Expedia hotel search,429,,https://www.expedia.com/Hotels-Search?destination=Paris,0,False,,REVIEW,http_429 (auth/anti-bot — verify by hand)
https://www.booking.com/searchresults.html?dest_id=-2601889,TRANSACTIONAL_COMPARISON,Booking.com search results,202,,https://www.booking.com/searchresults.html?dest_id=-2601889,0,False,placeholder_dest_id,REPLACE,synthetic_pattern: placeholder_dest_id
https://www.priceline.com/relax/in/3000017479/from/20250915/to/20250918,TRANSACTIONAL_COMPARISON,Priceline specific-property comparison,403,,https://www.priceline.com/relax/in/3000017479/from/20250915/to/20250918,0,False,placeholder_relax_in,REPLACE,synthetic_pattern: placeholder_relax_in
https://www.amazon.com/dp/B09G9HD6PD,TRANSACTIONAL_COMPARISON,Amazon product detail — purchase-evaluation,200,,https://www.amazon.com/dp/B09G9HD6PD,0,False,,KEEP,http_200
https://www.bestbuy.com/site/searchpage.jsp?st=laptop,TRANSACTIONAL_COMPARISON,BestBuy laptop search,-1,timeout,,0,False,,REPLACE,http_error: timeout
https://www.cars.com/shopping/results/?stock_type=used&makes[]=toyota,TRANSACTIONAL_COMPARISON,Cars.com inventory comparison,403,,https://www.cars.com/shopping/results/?stock_type=used&makes%5B%5D=toyota,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.zillow.com/homes/for_sale/Brooklyn-NY/,TRANSACTIONAL_COMPARISON,Zillow listing comparison,403,,https://www.zillow.com/homes/for_sale/Brooklyn-NY/,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.redfin.com/city/30749/NY/Brooklyn,TRANSACTIONAL_COMPARISON,Redfin listing comparison,200,,https://www.redfin.com/city/30749/NY/New-York,1,False,,KEEP,http_200
https://www.carvana.com/cars/toyota-camry,TRANSACTIONAL_COMPARISON,Carvana model-search comparison,403,,https://www.carvana.com/cars/toyota-camry,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.vrbo.com/search?destination=Tokyo,TRANSACTIONAL_COMPARISON,VRBO search results,429,,https://www.vrbo.com/search?destination=Tokyo,0,False,,REVIEW,http_429 (auth/anti-bot — verify by hand)
https://www.vogue.com/article/met-gala-2025-best-dressed,LEISURE_BROWSING,Vogue lifestyle article,404,,https://www.vogue.com/article/met-gala-2025-best-dressed,0,False,,REPLACE,http_404 (page not found)
https://www.gq.com/story/best-watches-2025,LEISURE_BROWSING,GQ lifestyle browsing,404,,https://www.gq.com/story/best-watches-2025,0,False,,REPLACE,http_404 (page not found)
https://www.elledecor.com/design-decorate/house-tours/,LEISURE_BROWSING,Elle Decor house tours,404,,https://www.elledecor.com/design-decorate/house-tours/,0,False,,REPLACE,http_404 (page not found)
https://www.foodandwine.com/best-new-restaurants-2025,LEISURE_BROWSING,Food & Wine lifestyle,404,,https://www.foodandwine.com/best-new-restaurants-2025,0,False,,REPLACE,http_404 (page not found)
https://www.thekitchn.com/recipes/quick-weeknight-dinners,LEISURE_BROWSING,The Kitchn recipe browsing,403,,https://www.thekitchn.com/recipes/quick-weeknight-dinners,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.atlasobscura.com/places/hidden-gems-paris,LEISURE_BROWSING,Atlas Obscura — diffuse exploration,404,,https://www.atlasobscura.com/404,1,False,,REPLACE,http_404 (page not found)
https://www.smithsonianmag.com/travel/best-museums-world,LEISURE_BROWSING,Smithsonian Magazine browsing,404,,https://www.smithsonianmag.com/travel/best-museums-world/,1,False,,REPLACE,http_404 (page not found)
https://www.outsideonline.com/2418701/best-hiking-gear-2025/,LEISURE_BROWSING,Outside Online lifestyle/gear browsing,404,,https://www.outsideonline.com/2418701/best-hiking-gear-2025/,3,False,,REPLACE,http_404 (page not found)
https://www.surfer.com/news/best-surf-spots-portugal,LEISURE_BROWSING,Surfer Magazine lifestyle,403,,https://www.surfer.com/news/best-surf-spots-portugal,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.refinery29.com/en-us/celebrity-style-2025,LEISURE_BROWSING,Refinery29 lifestyle browsing,404,,https://www.refinery29.com/en-us/celebrity-style-2025,0,False,,REPLACE,http_404 (page not found)
https://twitter.com/home,SOCIAL_CONSUMPTION,Twitter home feed,403,,https://twitter.com/home,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.tiktok.com/foryou,SOCIAL_CONSUMPTION,TikTok For You feed,403,,https://www.tiktok.com/foryou,0,False,,REVIEW,http_403 (auth/anti-bot — verify by hand)
https://www.instagram.com/explore/,SOCIAL_CONSUMPTION,Instagram explore feed,200,,https://www.instagram.com/explore/,0,False,,KEEP,http_200
https://www.facebook.com/,SOCIAL_CONSUMPTION,Facebook home feed,400,,https://www.facebook.com/,0,False,,REVIEW,http_400
https://medium.com/explore/business,SOCIAL_CONSUMPTION,Medium feed-driven content,200,,https://medium.com/explore/business,0,False,,KEEP,http_200
https://substack.com/inbox,SOCIAL_CONSUMPTION,Substack newsletter inbox,200,,https://substack.com/inbox,0,False,,KEEP,http_200
https://www.npr.org/sections/news/,SOCIAL_CONSUMPTION,NPR news feed,200,,https://www.npr.org/sections/news/,0,False,,KEEP,http_200
